state,year,count_perpetrators,latitude,longitude,mean_n_killed,mean_n_injured,mean_age,count_underages,count_males,count_females,fip,state_abbr,population,underages_ratio,male_pctg,female_pctg,perpetrators_per_1M
Maryland,2017,1068,39.17897458937204,-76.64990096618372,0.23782771535580524,0.34925093632958804,27.23878787878788,139.0,928,51,24,MD,6023868,0.1301498127340824,94.7906026557712,5.209397344228805,177.2947215974852
Maryland,2018,296,39.1928081481481,-76.76963148148145,0.10810810810810811,0.18243243243243243,27.746835443037973,50.0,264,17,24,MD,6035802,0.16891891891891891,93.95017793594306,6.049822064056939,49.04070743208607
Massachusetts,2014,851,42.21808822143697,-71.63118515901068,0.09048178613396005,0.209165687426557,26.24625267665953,65.0,754,38,25,MA,6762596,0.07638072855464159,95.20202020202021,4.797979797979798,125.8392487145469
Massachusetts,2015,1356,42.224915183246054,-71.54123231114444,0.0752212389380531,0.1902654867256637,26.697926059513076,153.0,1229,102,25,MA,6794228,0.11283185840707964,92.3365890308039,7.663410969196093,199.58117390231826
Massachusetts,2016,1501,42.21638017241382,-71.47913168103449,0.057961359093937376,0.23117921385742837,27.460714285714285,141.0,1387,81,25,MA,6823608,0.09393737508327782,94.48228882833787,5.517711171662126,219.97160446496926
Massachusetts,2017,1543,42.23285160642568,-71.43438922356088,0.06286454957874271,0.1898898250162022,27.521338912133892,151.0,1376,92,25,MA,6859789,0.09786130913804278,93.73297002724796,6.267029972752043,224.93403222752187
Massachusetts,2018,363,42.25286246246246,-71.4448957957958,0.05509641873278237,0.20385674931129477,27.482517482517483,45.0,336,20,25,MA,6882635,0.12396694214876033,94.38202247191012,5.617977528089888,52.74142824659451
Michigan,2013,16,42.82168750000001,-84.55579374999999,0.75,4.375,21.5,3.0,9,0,26,MI,9913065,0.1875,100.0,0.0,1.6140315835717813
Michigan,2014,1185,42.76778086367499,-84.00519424216752,0.23628691983122363,0.3670886075949367,28.235294117647058,113.0,995,77,26,MI,9929848,0.09535864978902954,92.81716417910448,7.182835820895522,119.33717414405538
Michigan,2015,1130,42.689442413162666,-83.95020703839121,0.26194690265486725,0.47168141592920354,29.87037037037037,111.0,929,62,26,MI,9931715,0.09823008849557523,93.74369323915238,6.256306760847629,113.77692573739782
Michigan,2016,1237,42.69245245901634,-84.07270154826941,0.27970897332255457,0.4664510913500404,29.433656957928804,106.0,1022,69,26,MI,9950571,0.0856911883589329,93.67552703941338,6.3244729605866175,124.31447401360184
Michigan,2017,1077,42.68139524262609,-84.16727145575653,0.28319405756731664,0.4753946146703807,29.136288998357966,88.0,892,91,26,MI,9973114,0.08170844939647168,90.74262461851475,9.257375381485248,107.9903428357482
Michigan,2018,291,42.564659591836744,-84.08465959183688,0.4261168384879725,0.37800687285223367,29.452380952380953,32.0,242,15,26,MI,9984072,0.10996563573883161,94.16342412451363,5.836575875486381,29.14642442482386
Minnesota,2013,1,44.9553,-93.2489,2.0,2.0,,0.0,0,0,27,MN,5413479,0.0,,,0.18472409332335085
Minnesota,2014,375,45.23282719999998,-93.40796080000008,0.16533333333333333,0.3626666666666667,29.454545454545453,32.0,317,21,27,MN,5451079,0.08533333333333333,93.78698224852072,6.21301775147929,68.79371955533941
Minnesota,2015,417,45.23527548543688,-93.43773009708731,0.2709832134292566,0.39568345323741005,28.688356164383563,61.0,351,20,27,MN,5482032,0.14628297362110312,94.60916442048517,5.390835579514825,76.0666847621466
